Entity,Code,Year,Renewables (% equivalent primary energy),Geo Biomass Other - TWh,Solar Generation - TWh,Wind Generation - TWh,Hydro Generation - TWh,Electricity from wind (TWh),Electricity from hydro (TWh),Electricity from solar (TWh),Other renewables including bioenergy (TWh),Renewables (% electricity),Hydro (% equivalent primary energy),Hydro (% electricity),Wind Capacity,Wind (% equivalent primary energy),Wind (% electricity),Solar Capacity,Solar (% equivalent primary energy),Solar (% electricity),Biofuels Production - TWh - Total,Geothermal Capacity
China,CHN,1994,4.952474,0.46,0.005,0.3838384,167.42897,0.3838384,167.42897,0.005,0.46,18.137295,4.926808,18.045803,,0.011294927,0.041370813,,0.00014705995,0.0005389092,0.0,
China,CHN,1995,5.55382,3.014,0.007,0.61616164,190.58,0.61616164,190.58,0.007,3.014,19.286135,5.4434624,18.924957,,0.017599184,0.061186027,,0.00019989497,0.0006951134,0.0,26.3
China,CHN,1996,5.143133,1.533,0.009,0.093939394,187.97,0.093939394,187.97,0.009,1.533,17.534836,5.095832,17.383543,,0.0025466795,0.008687554,0.001,0.00024397188,0.0008323237,0.0,
China,CHN,1997,5.361734,2.722,0.011,0.1979798,195.98,0.1979798,195.98,0.011,2.722,17.516706,5.2773304,17.258596,0.146,0.005331182,0.017434705,0.0025,0.00029620752,0.0009686936,0.0,
China,CHN,1998,5.4277782,2.48,0.014,0.35555556,198.89,0.35555556,198.89,0.014,2.48,17.287024,5.34623,17.042845,0.2,0.009557452,0.030467486,0.005,0.00037632405,0.0011996573,0.0,
China,CHN,1999,5.188286,2.52,0.017,0.4737374,196.58,0.4737374,196.58,0.017,2.52,16.105118,5.10523,15.86218,0.262,0.012303074,0.038226206,0.01,0.0004414947,0.0013717421,0.0,
China,CHN,2000,5.656925,2.537,0.022,0.589899,222.41,0.59,222.41,0.02,2.537,16.639128,5.573289,16.406757,0.341,0.014782058,0.043523163,0.033515,0.0005512908,0.0014753615,0.0,21.7
China,CHN,2001,6.618624,2.554,0.031,0.7191919,277.43,0.72,277.43,0.03,2.554,18.958124,6.5358973,18.73527,0.383,0.016943244,0.048622694,0.03802,0.0007303202,0.0020259456,0.053060662,21.7
China,CHN,2002,6.2804885,2.546,0.048,0.83737373,287.97,0.84,287.97,0.05,2.546,17.6185,6.1892962,17.41052,0.449,0.017997546,0.050785974,0.05653,0.0010316577,0.0030229746,1.7684788,21.7
China,CHN,2003,5.3011093,2.536,0.064,0.9969697,283.68,1.0,283.68,0.06,2.536,15.036272,5.200834,14.847848,0.547,0.018277897,0.052340128,0.0665999999999999,0.0011733418,0.0031404076,4.856231,21.7
China,CHN,2004,5.60094,2.528,0.076,1.2777778,353.544,1.28,353.54,0.08,2.528,16.22241,5.5042586,16.045858,0.763,0.019893479,0.058094412,0.0766,0.0011832295,0.0036309008,5.965346,21.7
China,CHN,2005,5.554481,5.322,0.084,1.9460607,397.017,1.95,397.02,0.08,5.322,16.173119,5.4064536,15.8791485,1.06,0.026500845,0.07799189,0.1412,0.0011438854,0.0031996672,8.368024,21.7
China,CHN,2006,5.5779824,7.133,0.095,3.7118182,435.786,3.71,435.79,0.09,7.133,15.588404,5.3799367,15.206999,2.07,0.04582375,0.12946136,0.1601999999999999,0.001172809,0.003140572,12.231145,21.7
China,CHN,2007,5.718535,9.863,0.114,5.479293,485.264,5.48,485.26,0.11,9.863,15.258385,5.47777,14.787569,4.2,0.061851494,0.16699477,0.199,0.0012868581,0.0033520847,13.484257,21.7
China,CHN,2008,7.268667,14.866,0.152,13.1,636.96,13.1,636.96,0.15,14.866,19.025333,6.879183,18.220932,8.387728,0.14148031,0.37473968,0.253,0.0016416038,0.0042909128,16.731058,24.8
China,CHN,2009,6.9355316,20.85932,0.279,27.614998,615.644,27.61,615.64,0.28,20.85932,17.885717,6.3305826,16.573343,17.599408,0.2839612,0.7432753,0.4148,0.0028689185,0.0075377426,18.286423,24.8
China,CHN,2010,7.615998,24.90023,0.701,49.39962,711.3831,49.4,711.38,0.7,24.90023,18.780075,6.795924,16.988949,29.633479,0.4719202,1.179755,1.0218,0.006696733,0.016717177,17.774601,24.1
China,CHN,2011,7.084204,27.632,2.61,74.1,688.045,74.1,688.04,2.61,27.632,16.890234,6.0576506,14.666141,46.3546,0.65238744,1.5795027,3.1078,0.022978827,0.055634305,22.119543,26.2
China,CHN,2012,8.522597,30.133,3.5945098,103.049904,862.7941,103.05,862.79,3.59,30.133,20.122967,7.252299,17.369537,61.59687,0.8661959,2.0745845,6.7178,0.030214002,0.07227325,23.6831,26.2
China,CHN,2013,8.959421,37.133,8.373886,138.26413,909.61224,138.26,909.61,8.37,37.133,20.215248,7.3241687,16.81772,76.73053,1.1132983,2.5562801,17.747799999999998,0.067426264,0.15475239,26.360819,26.0
China,CHN,2014,10.19733,46.26822,23.51216,159.7627,1059.6917,159.76,1059.69,23.51,46.26822,22.35022,8.24093,18.37089,96.81913,1.2424304,2.7696152,28.3878,0.18284759,0.4075717,29.27855,25.95
China,CHN,2015,10.787498,54.07029,39.48057,185.59145,1114.5154,185.59,1114.52,39.48,54.07029,24.079271,8.506526,19.256367,131.04773,1.4165245,3.2065725,43.5378,0.30133498,0.6821245,24.932436,25.75
China,CHN,2016,11.530947,62.134766,66.52795,240.8605,1153.2675,240.86,1153.27,66.53,62.134766,25.000778,8.605503,18.934093,148.51689000000002,1.7972635,3.9543781,77.7878,0.49642125,1.0922726,23.978706,25.75
China,CHN,2017,12.138821,79.59891,117.8,304.6,1165.065,304.6,1165.06,117.8,79.59891,25.419243,8.354614,17.764774,164.37448,2.184269,4.6445246,130.80129,0.84473693,1.7962083,29.046839,25.75
China,CHN,2018,12.807393,93.72523,176.9,365.8,1198.887,365.8,1198.89,176.9,93.72523,25.774794,8.221995,16.836924,184.66488,2.508665,5.1372075,175.01586,1.2131844,2.4843411,28.014196,25.75
China,CHN,2019,13.51596,112.72523,224.0,405.3,1272.538,405.3,1272.54,224.0,112.72523,26.999567,8.39045,17.05477,209.5819,2.672336,5.431891,204.5748,1.4769387,3.0020812,33.9185,26.0
China,CHN,2020,14.242872,135.625,261.1,466.5,1321.709,466.5,1321.71,261.1,135.625,28.24646,8.467438,17.086798,282.11266,2.9886,6.030817,253.4178,1.672719,3.3754478,35.785557,26.0
China,CHN,2021,14.946244,169.93158,327.0,655.6,1300.0,655.6,1300.0,327.0,169.93158,28.907642,7.768007,15.322926,328.97344,3.9174657,7.7274694,306.4028,1.9539526,3.854305,39.64496,
France,FRA,1965,10.584984,0.0,0.0,0.0,46.881092,0.0,46.881092,0.0,0.0,,10.584984,,,0.0,,,0.0,,,
France,FRA,1966,11.602393,0.39,0.0,0.0,52.20847,0.0,52.20847,0.0,0.39,,11.509577,,,0.0,,,0.0,,,
France,FRA,1967,9.537199,0.605,0.0,0.0,45.37766,0.0,45.37766,0.0,0.605,,9.401877,,,0.0,,,0.0,,,
France,FRA,1968,10.09288,0.926,0.0,0.0,50.42261,0.0,50.42261,0.0,0.926,,9.896674,,,0.0,,,0.0,,,
France,FRA,1969,9.634168,1.067,0.0,0.0,52.94209,0.0,52.94209,0.0,1.067,,9.429019,,,0.0,,,0.0,,,
France,FRA,1970,9.537436,1.3702458,0.0,0.0,56.681484,0.0,56.681484,0.0,1.3702458,,9.294863,,,0.0,,,0.0,,,
France,FRA,1971,7.9428425,1.3918225,0.0,0.0,48.856724,0.0,48.856724,0.0,1.3918225,,7.7058578,,,0.0,,,0.0,,,
France,FRA,1972,7.446317,1.5151953,0.0,0.0,48.831467,0.0,48.831467,0.0,1.5151953,,7.20497,,,0.0,,,0.0,,,
France,FRA,1973,6.7090616,1.5500864,0.0,0.0,47.696262,0.0,47.696262,0.0,1.5500864,,6.481657,,,0.0,,,0.0,,,
France,FRA,1974,8.01622,1.5770591,0.0,0.0,56.230286,0.0,56.230286,0.0,1.5770591,,7.780643,,,0.0,,,0.0,,,
France,FRA,1975,9.053055,1.4158849,0.0,0.0,60.107937,0.0,60.107937,0.0,1.4158849,,8.828549,,,0.0,,,0.0,,,
France,FRA,1976,6.8996778,1.3329,0.0,0.0,48.56463,0.0,48.56463,0.0,1.3329,,6.70113,,,0.0,,,0.0,,,
France,FRA,1977,10.595119,1.3745815,0.0,0.0,76.322975,0.0,76.322975,0.0,1.3745815,,10.39305,,,0.0,,,0.0,,,
France,FRA,1978,9.109527,1.4183881,0.0,0.0,68.35983,0.0,68.35983,0.0,1.4183881,,8.909949,,,0.0,,,0.0,,,
France,FRA,1979,8.611678,1.4840102,0.0,0.0,66.419136,0.0,66.419136,0.0,1.4840102,,8.408854,,,0.0,,,0.0,,,
France,FRA,1980,9.114398,1.4710236,0.0,0.0,69.52675,0.0,69.52675,0.0,1.4710236,,8.910869,,,0.0,,,0.0,,,
France,FRA,1981,9.551752,1.4921525,0.0,0.0,72.19517,0.0,72.19517,0.0,1.4921525,,9.343281,,,0.0,,,0.0,,,
France,FRA,1982,9.705157,1.52734,0.0,0.0,70.57486,0.0,70.57486,0.0,1.52734,,9.483593,,,0.0,,,0.0,,,
France,FRA,1983,9.325617,1.5587,0.0,0.0,69.443016,0.0,69.443016,0.0,1.5587,,9.104992,,,0.0,,,0.0,,,
France,FRA,1984,8.554503,1.6223,0.0,0.0,65.69011,0.0,65.69011,0.0,1.6223,,8.332356,,,0.0,,,0.0,,,
France,FRA,1985,7.887791,1.65215,0.0,0.0,62.453335,0.0,62.453335,0.0,1.65215,18.663372,7.668782,18.182373,,0.0,0.0,,0.0,0.0,,
France,FRA,1986,7.7647924,1.6628,0.0,0.0,63.010845,0.0,63.010845,0.0,1.6628,17.854536,7.549715,17.395485,,0.0,0.0,,0.0,0.0,,
France,FRA,1987,8.584645,1.7506,0.0,0.0,71.087555,0.0,71.087555,0.0,1.7506,19.276115,8.362334,18.812828,,0.0,0.0,,0.0,0.0,,
France,FRA,1988,9.174313,1.77325,0.0,0.0,77.11729,0.0,77.11729,0.0,1.77325,20.144228,8.952092,19.691439,,0.0,0.0,,0.0,0.0,,
France,FRA,1989,5.5997367,1.84145,0.0,0.0,46.842293,0.0,46.842293,0.0,1.84145,11.986945,5.3717656,11.533543,,0.0,0.0,,0.0,0.0,,
France,FRA,1990,6.222641,1.913,0.0,0.000271526,53.866,0.0,53.87,0.0,1.91,13.370086,5.992851,12.9122715,,3.0203992e-05,0.0,,0.0,0.0,0.0,4.2
France,FRA,1991,6.2665405,2.102,0.0,0.000489604,57.602,0.0,57.6,0.0,2.1100001,13.2212925,6.0289803,12.754086,,5.1226154e-05,0.0,,0.0,0.0,0.0,
France,FRA,1992,7.399244,2.134,0.001488,0.000489604,68.956,0.0,68.96,0.0,2.1399999,15.45585,7.157376,14.990653,,5.0800405e-05,0.0,,0.00015444885,0.0,0.02624891,
France,FRA,1993,6.9688835,1.974,0.001683,0.00240218,64.895,0.0,64.89,0.0,1.97,14.23583,6.734607,13.816378,,0.0002495679,0.0,,0.00017450257,0.0,0.2923782,
France,FRA,1994,8.563506,2.157,0.0018785,0.004704,78.794,0.0,78.79,0.0,2.1599998,17.056469,8.27928,16.601349,,0.00049452117,0.0,,0.00019741362,0.0,0.94942665,
France,FRA,1995,7.823903,2.329,0.00204,0.0047142,73.119,0.0,73.12,0.0,2.33,15.360343,7.504825,14.885994,,0.00048401835,0.0,,0.00020922704,0.0,1.8613815,4.2
France,FRA,1996,6.882894,2.423,0.0026503,0.0074302,66.044,0.01,66.04,0.0,2.42,13.447639,6.5358534,12.970383,,0.00073534844,0.0019640191,0.004,0.00026215962,0.0,2.678552,
France,FRA,1997,6.803889,2.675,0.0034068,0.0111284,63.764,0.01,63.76,0.0,2.67,13.262536,6.3971257,12.727563,0.013,0.0011164609,0.0019961675,0.006,0.0003421084,0.0,3.2066004,
